atleta_id,apelido,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,FT,SG,A,I,DE,GS,PS,CV,PC,DP,GC,V,gt_med_media_pontos_mandante,gt_med_media_pontos_visitante,gt_med_media_minutos_jogados,gt_med_minutos_jogados,gt_med_FS,gt_med_G,gt_med_DS,gt_med_FC,gt_med_PP,gt_med_FD,gt_man_FS,gt_man_G,gt_man_DS,gt_man_FC,gt_man_CA,gt_man_FF,gt_man_FD,gt_vis_FS,gt_vis_G,gt_vis_DS,gt_vis_FC,gt_vis_PP,gt_vis_FD
105631,Bruno Lage,14,263,6,7,0,13.33,0.0,0.0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114802,Vitor Roque,14,293,5,7,0,13.41,0.0,8.17,13,8.94,1.0,,2.0,3.0,,,,,,,,,9.342857142857143,6.8,75.0,105.0,27,7,13,18,0,8,0,0,0,0,3,9,0,0,0,0,0,0,0
82628,Tinga,14,356,2,6,0,9.35,0.0,5.72,12,0.18,,5.0,,3.0,,,,,,,,,7.733333333333334,3.7166666666666663,96.0,72.0,4,1,27,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
71684,Gustavo Gómez,14,275,3,7,0,7.94,-0.16,2.61,13,-0.28,,2.0,1.0,2.0,,,,,,,,,2.2571428571428567,3.016666666666667,97.0,104.0,8,0,15,13,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0
84263,Jemerson,14,282,3,7,0,7.53,-0.03,2.71,13,1.18,,4.0,1.0,1.0,,,,,,,,,2.442857142857143,2.983333333333334,93.0,98.0,4,0,11,17,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
61188,Gilberto,14,283,5,2,0,8.43,-0.45,4.04,13,0.24,,,1.0,4.0,,,,,,,,,1.9714285714285713,6.466666666666668,67.0,16.0,8,3,5,12,0,5,0,0,0,0,2,17,0,0,0,0,0,0,0
70800,Jorge Sampaoli,14,262,6,7,0,11.48,-0.83,6.09,13,1.83,,,,,,,,,,,,7.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72294,Everson,14,282,1,7,0,5.38,-0.18,3.0,14,-0.08,,4.0,,,36.0,14.0,,,,,,,1.5714285714285714,4.428571428571429,101.0,98.0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
93478,Wanderson,14,285,5,7,0,11.24,0.11,4.45,12,1.47,,,2.0,,,,,,,,,,6.24,3.185714285714286,75.0,77.0,14,3,8,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
84042,Tiquinho Soares,14,263,5,7,0,18.69,-2.02,9.48,13,-1.12,,,4.0,9.0,,,,,,,,,10.799999999999999,8.342857142857143,90.0,88.0,25,10,8,18,1,5,0,0,0,0,5,13,0,0,0,0,0,0,0
104502,Christian,14,293,4,7,0,8.91,-0.34,4.35,12,-0.32,1.0,,,,,,,,,,,,3.614285714285714,5.380000000000001,72.0,54.0,12,3,14,16,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0
94509,Raphael Veiga,14,275,4,7,0,17.32,-0.21,7.57,9,2.17,1.0,,2.0,,,,,,,,,,10.520000000000001,3.8750000000000004,84.0,96.0,18,4,9,15,1,7,0,0,0,0,3,8,0,0,0,0,0,0,0
87228,Guilherme Arana,14,282,2,7,0,8.55,-0.15,0.58,5,-0.19,,,,,,,,,,,,,-0.09999999999999999,1.6,77.0,48.0,2,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
63013,Marcos Rocha,14,275,2,7,0,5.12,0.0,3.3,2,3.71,,,,,,,,,,,,,,,95.0,84.0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88393,Ayrton Lucas,14,262,2,3,0,14.42,-1.64,5.94,14,-1.45,,5.0,1.0,,,,1.0,,,,,,8.114285714285714,3.757142857142857,83.0,104.0,18,3,18,21,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0
80196,Yago Pikachu,14,356,4,6,0,8.83,2.1,2.69,14,7.01,,,,2.0,,,,,,,,,3.014285714285714,2.3571428571428568,48.0,24.0,13,3,6,5,1,3,0,0,0,0,2,5,0,0,0,0,0,0,0
87225,Pedro Henrique,14,293,3,5,0,8.95,-0.31,3.65,11,-0.08,,4.0,,2.0,,,,,,,,,4.4714285714285715,2.25,87.0,54.0,5,1,10,14,0,1,0,0,0,0,3,5,0,0,0,0,0,0,0
95799,Artur,14,275,5,7,0,11.48,-0.38,6.33,13,1.9,3.0,,1.0,3.0,,,,,,,,,6.285714285714286,6.383333333333333,85.0,79.0,20,4,12,8,0,7,0,0,0,0,1,9,0,0,0,0,0,0,0
117579,Galoppo,14,276,4,5,0,5.0,0.0,0.0,0,6.8,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98225,Pedro Raul,14,267,5,6,0,5.81,-0.11,2.7,12,-0.07,1.0,,,8.0,,,,,,,,,3.7000000000000006,1.7000000000000002,79.0,30.0,10,2,2,14,0,7,0,0,0,0,3,7,0,0,0,0,0,0,0
96340,Lima,14,266,4,7,0,11.61,-0.42,5.64,14,0.89,1.0,,1.0,3.0,,,,,,,,,6.042857142857143,5.214285714285714,94.0,100.0,38,3,18,15,0,6,0,0,0,0,1,6,0,0,0,0,0,0,0
102253,Lucas Halter,14,290,3,7,0,4.32,-0.67,2.15,11,-0.99,,1.0,,2.0,,,,1.0,1.0,,,,1.9600000000000002,2.3166666666666664,102.0,111.0,4,1,14,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
72580,Matheus Cavichioli,14,327,1,6,0,5.43,0.0,1.17,7,0.24,,,,,26.0,19.0,,1.0,,1.0,1.0,,1.6749999999999998,0.5,101.0,101.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
