rodada_id,partida_id,partida_data,clube_casa_id,clube_casa_nome,clube_casa_posicao,aproveitamento_mandante,clube_visitante_id,clube_visitante_nome,clube_visitante_posicao,aproveitamento_visitante,placar_oficial_mandante,placar_oficial_visitante,valida
1,302573,2023-04-15 16:00:00,275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",2,1,True
1,302580,2023-04-15 16:00:00,327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",0,3,True
1,302572,2023-04-15 18:30:00,263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",2,1,True
1,302575,2023-04-15 18:30:00,280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",2,1,True
1,302578,2023-04-15 18:30:00,293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",2,0,True
1,302579,2023-04-15 18:30:00,356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",1,1,True
1,302576,2023-04-15 21:00:00,282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",1,2,True
1,302571,2023-04-16 16:00:00,262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",3,0,True
1,302574,2023-04-16 16:00:00,264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",2,1,True
1,302577,2023-04-16 18:30:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",277,Santos,14,"['d', 'd', 'd', 'v', 'd']",1,0,True
2,302591,2023-04-22 16:00:00,266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",2,0,True
2,302593,2023-04-22 18:30:00,276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",3,0,True
2,302600,2023-04-22 18:30:00,1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",1,1,True
2,302596,2023-04-22 21:00:00,283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",1,0,True
2,302597,2023-04-23 11:00:00,285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",2,1,True
2,302592,2023-04-23 16:00:00,267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",2,2,True
2,302594,2023-04-23 16:00:00,277,Santos,14,"['d', 'd', 'd', 'v', 'd']",282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",0,0,True
2,302598,2023-04-23 18:30:00,294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",0,3,True
2,302595,2023-04-23 19:00:00,290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",3,1,True
2,302599,2023-04-24 20:00:00,265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",1,2,True
3,302618,2023-04-29 16:30:00,294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",1,1,True
3,302619,2023-04-29 16:30:00,356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",4,2,True
