atleta_id,apelido,posicao_id,clube_id,entrou_em_campo,rodada_id,CA,DS,FC,FF,FD,FS,I,SG,A,G,DE,GS,V,PS,FT,PP,DP,CV,PC,GC,pontuacao
100079,Zaracho,4,282,True,1,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,0.1
100453,Luis Segovia,3,263,True,1,,,,,,,,,,,,,,,,,,,,,0.0
100652,Yuri Alberto,5,264,True,1,,1.0,3.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,3.2
100761,Liziero,4,294,True,1,,2.0,,,,,,,,,,,,,,,,,,,2.4
101002,Júnior Santos,5,263,True,1,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0
101027,Diego,4,290,True,1,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,3.2
101201,Vitor Jacaré,5,265,True,1,1.0,6.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,10.4
101254,Alef Manga,5,294,True,1,,1.0,3.0,,,2.0,,,,,,,,,,,,,,,1.3
101314,Ademir,5,265,True,1,,,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,,2.8
101319,Guga,2,266,True,1,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,7.2
101579,Robson Bambu,3,267,True,1,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,0.9
101594,Hugo Moura,4,293,True,1,,3.0,1.0,,,2.0,,,,,,,,,,,,,,,4.3
101684,Philippe Costa,5,290,True,1,,,,,,,,,,,,,,,,,,,,,0.0
101708,Felipe Jonatan,2,277,True,1,,2.0,,,,,,,,,,,,,,,,,,,2.4
101715,Alerrandro,5,280,True,1,,,1.0,,,1.0,,,,,,,,,,,,,,,0.2
101725,Matheusinho,4,290,True,1,,,,,,,,,,,,,,,,,,,,,0.0
101995,Brítez,3,356,True,1,1.0,,3.0,1.0,,3.0,,,1.0,,,,,,,,,,,,5.4
102318,Caio Paulista,2,276,True,1,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,3.9
102598,Helinho,5,280,True,1,,,,,,,,,,,,,,,,,,,,,0.0
102911,Zé Ricardo,4,290,True,1,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,0.8
103014,Laquintana,5,280,True,1,,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,3.4
103347,Matheus Alexandre,2,1371,True,1,,,,,1.0,,,,,,,,,,,,,,,,1.2
103388,Emmanuel Martínez,4,327,True,1,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,0.5
103576,Rafael Bilu,5,283,True,1,,,,,,,,,,,,,,,,,,,,,0.0
103645,Marcos Paulo,5,276,True,1,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,3.4
103695,Jadsom Silva,4,280,True,1,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,-0.4
103700,Bruno Méndez,3,264,True,1,,,2.0,,,,,,,,,,,,,,,,,,-0.6
103767,Gabriel Menino,4,275,True,1,,,,1.0,,1.0,,,,,,,,,,,,,,,1.3
104385,Igor Gomes,3,285,True,1,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,2.9
104401,Vitor Mendes,3,266,True,1,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,4.9
104420,Reinaldo,5,293,True,1,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.7
104502,Christian,4,293,True,1,,2.0,4.0,,,1.0,,,,1.0,,,,,,,,,,,9.7
104593,Darlan,4,284,True,1,1.0,1.0,,,,,,,,,,,,,,,,,,,0.2
104666,Moisés,5,356,True,1,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,10.4
104754,Juan Vojvoda,6,356,True,1,,,,,,,,,,,,,,,,,,,,,4.24
104783,Acevedo,4,265,True,1,,,,,,1.0,,,,,,,,,,,,,,,0.5
105049,Luis Henrique,5,263,True,1,,2.0,,1.0,,,,,,,,,,,,,,,,,3.2
105208,Bento,1,293,True,1,,,,,,,,1.0,,,2.0,,,,,,,,,,7.0
105373,Gabriel Xavier,3,265,True,1,,1.0,1.0,,,,,,,,,,,,,,,,,,0.9
105531,Matheus Bidu,2,264,True,1,,,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,3.7
105568,Lucero,5,356,True,1,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,2.6
105584,Lucas Piton,2,267,True,1,,,,,,,,,1.0,,,,,,,,,,,,5.0
105585,Roni,4,264,True,1,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,1.1
105770,Rafael Navarro,5,275,True,1,,,4.0,1.0,1.0,,2.0,,,,,,,,,,,,,,0.6
105811,Wesley,5,283,True,1,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.4
105845,Matheus Araújo,4,264,True,1,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,10.9
