apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,scout.CA,scout.DS,scout.FC,scout.FF,scout.FD,scout.FS,scout.I,scout.SG,scout.A,scout.G,scout.DE,scout.GS,scout.V,scout.PS,scout.FT,scout.PP,scout.DP,scout.CV,scout.PC,scout.GC
Zaracho,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_wjGLEpf.png"">link</a>",0.1,4,282,True,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Segovia,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_N5TAr8X.png"">link</a>",0.0,3,263,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuri Alberto,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_QVzSGOZ.png"">link</a>",3.2,5,264,True,0.0,1.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liziero,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NUUHkjY.png"">link</a>",2.4,4,294,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Júnior Santos,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_20JkUu3.png"">link</a>",1.0,5,263,True,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_50P80kB.png"">link</a>",3.2,4,290,True,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Jacaré,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_GdFbYPn.png"">link</a>",10.4,5,265,True,1.0,6.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alef Manga,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_o07AeW3.png"">link</a>",1.3,5,294,True,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ademir,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_AYMEKre.png"">link</a>",2.8,5,265,True,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guga,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_XX1WP8Y.png"">link</a>",7.2,2,266,True,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robson Bambu,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_duKaGjT.png"">link</a>",0.9,3,267,True,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Moura,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xmqFuth.png"">link</a>",4.3,4,293,True,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippe Costa,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_kiizDTZ.png"">link</a>",0.0,5,290,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Jonatan,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_4Rn0gj2.png"">link</a>",2.4,2,277,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alerrandro,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/a190fc01a5c5880c8de5c5854ac2f555_FORMATO.png"">link</a>",0.2,5,280,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheusinho,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_OKVlOLy.png"">link</a>",0.0,4,290,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brítez,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qvH6Q9A.png"">link</a>",5.4,3,356,True,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caio Paulista,"<a href=""https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png"">link</a>",3.9,2,276,True,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helinho,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png"">link</a>",0.0,5,280,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zé Ricardo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_h43zEak.png"">link</a>",0.8,4,290,True,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laquintana,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_roWm5iE.png"">link</a>",3.4,5,280,True,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Alexandre,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png"">link</a>",1.2,2,1371,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Martínez,"<a href=""https://s.sde.globo.com/media/person_role/2022/08/13/68f9c27625c8107e59119604bba5e322_FORMATO.png"">link</a>",0.5,4,327,True,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Bilu,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_L5qGZ0n.png"">link</a>",0.0,5,283,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Paulo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_XopxIWU.png"">link</a>",3.4,5,276,True,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jadsom Silva,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png"">link</a>",-0.4,4,280,True,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Méndez,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png"">link</a>",-0.6,3,264,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Menino,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png"">link</a>",1.3,4,275,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Gomes,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png"">link</a>",2.9,3,285,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Mendes,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_L4w297p.png"">link</a>",4.9,3,266,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reinaldo,"<a href=""https://s.sde.globo.com/media/person_role/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png"">link</a>",1.7,5,293,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png"">link</a>",9.7,4,293,True,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darlan,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NzyHepN.png"">link</a>",0.2,4,284,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moisés,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_217hwXw.png"">link</a>",10.4,5,356,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Vojvoda,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png"">link</a>",4.24,6,356,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acevedo,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png"">link</a>",0.5,4,265,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Henrique,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png"">link</a>",3.2,5,263,True,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
